ID,Birthday,Ethnicity_1,Ethnicity_2,Ethnicity_3,Ethnicity_4,Ethnicity_5,Ethnicity_6,Ethnicity_7,Ethnicity_8,Ethnicity_9,Rel,SOIR1,SOIR2,SOIR3,SOIR4,SOIR5,SOIR6,SOIR7,SOIR8,SOIR9,SOIR6_R,ICS1,ICS2,ICS3,ICS4,ICS5,ICS6,ICS7,ICS8,ICS9,ICS10,ICS11,ICS12,PSAPNPnts,PSAPNProv,PSAPOpt1,PSAPOpt2,PSAPOpt3
34,1/26/1998,1, , , , , , , , ,2,2,4,5,7,8,1,1,1,1,9,1,3,1,2,1,1,1,1,7,7,1,1,18,9,2770,250,210
131,12/12/2000,1, , , , , , , , ,2,4,1,2,7,8,2,8,7,6,8,1,1,2,4,1,3,1,1,4,1,1,1,6,12,1841,300,190
100,1/19/1999, , , , , , ,1, , ,2,2,2,2,3,1,2,3,2,2,8,1,1,2,2,4,1,2,4,2,1,1,1,19,22,4148,0,0
28,8/12/1999,1, , , , , , , , ,1,3,1,2,8,6,2,2,2,1,8,3,3,3,5,5,2,3,2,2,4,5,2,14,14,2868,0,210
25,4/11/1997,1, , , , , , , , ,2,2,1,1,9,6,5,6,6,6,5,3,5,3,2,1,1,1,1,2,1,1,2,20,17,3741,20,100
71,4/13/2000,1, , , , , , , , ,1,1,1,1,6,1,8,1,1,1,2,2,2,5,5,2,2,5,3,6,5,2,1,29,10,3993,170,130
110,2/14/1997,1, , , , , , , , ,2,2,1,1,4,1,7,2,2,1,3,2,2,2,1,1,2,2,1,2,3,1,2,30,9,3970,220,0
51,4/27/2000,1, , , , , ,1, , ,1,1,1,1,1,1,9,1,2,1,1,1,2,1,2,1,1,1,1,1,2,2,1,13,15,2848,60,20
77,1/6/1997,1, , , , , , , , ,2,2,1,1,1,9,9,2,2,1,1,4,3,4,5,4,2,3,1,4,5,1,2,19,10,2940,250,360
103,9/16/1999,1, , , , , , , , ,2,2,4,6,7,3,1,2,2,2,9,3,5,2,7,1,1,2,1,5,5,4,4,17,18,3591,0,140
19,6/24/2000,1, , , , , , , , ,1,1,1,1,1,1,9,4,1,1,1,2,2,3,2,1,2,3,1,3,3,2,3,13,12,2555,310,0
102,4/15/2000,1, , , , , , , , ,1,1,1,1,1,1,9,2,2,1,1,2,2,2,2,1,2,1,1,3,4,1,1,21,15,3600,30,411
40,3/3/1999,1, , , , , , , , ,2,2,1,1,2,1,5,2,1,1,5,1,1,4,1,1,1,4,1,5,1,1,1,21,12,3371,110,180
92,6/12/2000,1, , , , , , , , ,2,2,1,1,5,2,5,3,1,1,5,2,3,2,4,2,1,1,2,4,3,1,2,24,12,3600,100,410
109,1/18/1998,1, , , , , , , , ,1,3,1,2,7,6,2,5,6,5,8,1,2,1,1,1,1,1,1,5,5,1,1,14,16,3012,0,160
98,3/2/2000,1, , , , , , , , ,1,6,3,5,9,6,1,6,5,6,9,3,3,3,5,2,3,3,3,4,2,3,3,20,15,3417,60,90
8,11/23/1991,1, , , , , , , ,1,1,3,2,8,9,1,9,9,8,8,1,2,2,2,5,3,1,4,1,7,4,1,3,11,22,3379,0,0
49,7/27/1998,1, , , , , , , , ,2,2,1,1,2,1,9,1,1,1,1,4,3,3,2,2,3,2,2,3,3,3,3,12,10,2282,290,410
105,1/11/1997,1, , , , , , , , ,2,3,3,3,6,5,4,3,3,2,6,3,3,3,4,3,2,3,2,3,4,3,3,22,13,3595,0,200
33,2/15/1999,1, , , , , , , , ,2,2,1,2,9,7,1,7,6,3,9,1,3,1,4,1,1,1,1,4,5,1,1,14,16,3079,0,190
83,6/6/1999,1, , , , , , , , ,2,2,1,1,7,7,2,7,7,6,8,2,5,2,3,2,2,3,2,5,5,4,3,21,12,3393,230,60
86,4/13/2000,1, , , , , , , , ,2,2,1,1,7,1,7,1,1,1,3,3,3,4,2,1,2,4,1,4,4,2,2,17,10,2700,190,222
37,12/16/1999,1, , , , , , , , ,2,3,1,1,2,1,8,3,3,1,2,2,2,2,4,1,1,1,1,4,5,5,1,18,14,3207,30,20
23,9/23/1998,1, , , , , , ,1, ,1,2,1,1,8,1,4,5,4,5,6,2,2,3,5,1,1,1,7,5,5,4,1,17,10,2777,180,190
27,12/10/1998,1, , , , , , , , ,2,4,3,3,7,5,5,2,1,1,5,1,3,4,4,1,2,2,1,2,4,1,2,14,11,2509,170,150
87,3/16/2000,1, , , , , , , , ,1,1,1,1,1,1,9,2,1,2,1,2,2,2,2,1,1,1,1,4,2,1,1,10,11,2124,380,240
54,5/16/1999,1, , , , , , , , ,2,2,2,3,8,6,3,1,2,1,7,3,4,5,5,2,4,4,2,5,5,2,2,0,25,2529,0,0
99,2/14/2000,1, , , , , , , , ,1,9,9,9,8,8,4,9,9,9,6,3,5,2,5,2,2,2,2,3,3,3,2,13,14,2700,19,280
48,1/28/2000,1, , , , , , , , ,2,2,1,3,9,3,6,2,2,2,4,1,1,3,1,1,1,1,1,4,4,3,1,10,13,2300,170,352
64,4/18/1998,1, , , , , , , , ,1,1,1,1,2,1,9,5,2,4,1,5,5,2,3,1,1,1,1,5,4,2,1,14,10,2400,390,360
2, ,1, , , , , , , , ,1,2,1,1,2,1,8,6,6,1,2,1,1,1,1,1,1,1,1,2,1,1,1,12,19,3189,0,60
53,10/29/1999, ,1, , , , , , , ,2,2,1,1,5,1,9,2,2,1,1,2,2,2,2,2,2,2,2,4,2,2,2,18,10,2800,350,450
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
